países;quantidade;valor;ano;opcao
China;-;-;1981;Uvas passas
China Continental;-;-;1981;Uvas passas
Cingapura;-;-;1981;Uvas passas
Costa Rica;-;-;1981;Uvas passas
Emirados;-;-;1981;Uvas passas
Espanha;-;-;1981;Uvas passas
Estados Unidos;126.804;326.790;1981;Uvas passas
França;-;-;1981;Uvas passas
Grécia;-;-;1981;Uvas passas
Guiana Britânica;-;-;1981;Uvas passas
Índia;-;-;1981;Uvas passas
Irã;-;-;1981;Uvas passas
Itália;-;-;1981;Uvas passas
Japão;-;-;1981;Uvas passas
México;1.228.260;2.382.306;1981;Uvas passas
Países Baixos;-;-;1981;Uvas passas
Paraguai;-;-;1981;Uvas passas
Peru;-;-;1981;Uvas passas
Portugal;-;-;1981;Uvas passas
Reino Unido;-;-;1981;Uvas passas
Suécia;-;-;1981;Uvas passas
Turquia;-;-;1981;Uvas passas
Uruguai;-;-;1981;Uvas passas
Uzbequistão;-;-;1981;Uvas passas
Venezuela;-;-;1981;Uvas passas
Não consta na tabela;-;-;1981;Uvas passas
Outros;-;-;1981;Uvas passas
Total;3.240.926;5.293.443;1981;Uvas passas
Africa do Sul;-;-;1981;Suco de uva
Alemanha;-;-;1981;Suco de uva
Argentina;-;-;1981;Suco de uva
Austria;-;-;1981;Suco de uva
Canadá;-;-;1981;Suco de uva
Coreia do Sul, República;-;-;1981;Suco de uva
Coreia do Norte, República;-;-;1981;Suco de uva
Chile;-;-;1981;Suco de uva
China;-;-;1981;Suco de uva
Dinamarca;-;-;1981;Suco de uva
Espanha;-;-;1981;Suco de uva
Estados Unidos;-;-;1981;Suco de uva
França;-;-;1981;Suco de uva
Guiana;-;-;1981;Suco de uva
Israel;-;-;1981;Suco de uva
itália;-;-;1981;Suco de uva
Japão;-;-;1981;Suco de uva
Líbano;-;-;1981;Suco de uva
México;-;-;1981;Suco de uva
Países Baixos;-;-;1981;Suco de uva
Panamá;-;-;1981;Suco de uva
Peru;-;-;1981;Suco de uva
Portugal;-;-;1981;Suco de uva
Reino Unido;-;-;1981;Suco de uva
Taiwan;-;-;1981;Suco de uva
Turquia;-;-;1981;Suco de uva
Uruguai;-;-;1981;Suco de uva
Venezuela;-;-;1981;Suco de uva
Outros;-;-;1981;Suco de uva
Total;0;0;1981;Suco de uva
Africa do Sul;-;-;1982;Vinhos de mesa
Alemanha;996.948;1.126.928;1982;Vinhos de mesa
Argélia;-;-;1982;Vinhos de mesa
Arábia Saudita;-;-;1982;Vinhos de mesa
Argentina;191.972;264.487;1982;Vinhos de mesa
Armênia;-;-;1982;Vinhos de mesa
Austrália;-;-;1982;Vinhos de mesa
Áustria;-;-;1982;Vinhos de mesa
Bermudas;-;-;1982;Vinhos de mesa
Bélgica;-;-;1982;Vinhos de mesa
Bolívia;-;-;1982;Vinhos de mesa
Bósnia-Herzegovina;-;-;1982;Vinhos de mesa
Brasil;-;-;1982;Vinhos de mesa
Bulgária;-;-;1982;Vinhos de mesa
Canada;-;-;1982;Vinhos de mesa
Chile;786.016;1.124.272;1982;Vinhos de mesa
China;-;-;1982;Vinhos de mesa
Coreia do Sul, República;-;-;1982;Vinhos de mesa
Croácia;-;-;1982;Vinhos de mesa
Cuba;-;-;1982;Vinhos de mesa
Emirados Árabes Unidos;-;-;1982;Vinhos de mesa
Eslovênia;-;-;1982;Vinhos de mesa
Eslováquia;-;-;1982;Vinhos de mesa
Espanha;119.748;104.790;1982;Vinhos de mesa
Estados Unidos;40.563;52.983;1982;Vinhos de mesa
França;313.977;424.752;1982;Vinhos de mesa
Geórgia;-;-;1982;Vinhos de mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1982;Vinhos de mesa
Grécia;-;-;1982;Vinhos de mesa
Hong Kong;-;-;1982;Vinhos de mesa
Hungria;-;-;1982;Vinhos de mesa
Indonésia;-;-;1982;Vinhos de mesa
Irlanda;-;-;1982;Vinhos de mesa
Israel;-;-;1982;Vinhos de mesa
Itália;284.440;322.430;1982;Vinhos de mesa
Japão;-;-;1982;Vinhos de mesa
Iugoslávia;1.350;1.650;1982;Vinhos de mesa
Líbano;-;-;1982;Vinhos de mesa
Luxemburgo;-;-;1982;Vinhos de mesa
Macedônia;-;-;1982;Vinhos de mesa
Marrocos;-;-;1982;Vinhos de mesa
México;-;-;1982;Vinhos de mesa
Moldávia;-;-;1982;Vinhos de mesa
Montenegro;-;-;1982;Vinhos de mesa
Noruega;-;-;1982;Vinhos de mesa
Nova Zelândia;-;-;1982;Vinhos de mesa
Países Baixos (Holanda);-;-;1982;Vinhos de mesa
Panamá;-;-;1982;Vinhos de mesa
Peru;-;-;1982;Vinhos de mesa
Porto Rico;-;-;1982;Vinhos de mesa
Portugal;1.074.983;1.258.983;1982;Vinhos de mesa
Reino Unido;-;-;1982;Vinhos de mesa
Republica Dominicana;-;-;1982;Vinhos de mesa
Romênia;-;-;1982;Vinhos de mesa
Rússia;-;-;1982;Vinhos de mesa
San Marino;-;-;1982;Vinhos de mesa
Sérvia;-;-;1982;Vinhos de mesa
Síria;-;-;1982;Vinhos de mesa
Suazilândia;-;-;1982;Vinhos de mesa
Suíça;-;-;1982;Vinhos de mesa
Tcheca, República;-;-;1982;Vinhos de mesa
Tunísia;-;-;1982;Vinhos de mesa
Turquia;-;-;1982;Vinhos de mesa
Ucrânia;-;-;1982;Vinhos de mesa
Uruguai;-;-;1982;Vinhos de mesa
Não consta na tabela;-;-;1982;Vinhos de mesa
Não declarados;-;-;1982;Vinhos de mesa
Outros;22.104;30.505;1982;Vinhos de mesa
Total;3.832.101;4.711.780;1982;Vinhos de mesa
Africa do Sul;-;-;1982;Espumantes
Alemanha;117.270;101.714;1982;Espumantes
Argentina;-;-;1982;Espumantes
Austrália;-;-;1982;Espumantes
Áustria;-;-;1982;Espumantes
Bermudas;-;-;1982;Espumantes
Bahamas;-;-;1982;Espumantes
Bélgica;-;-;1982;Espumantes
Brasil;-;-;1982;Espumantes
Bulgária;-;-;1982;Espumantes
Canada;-;-;1982;Espumantes
Chile;14.865;21.614;1982;Espumantes
Croácia;-;-;1982;Espumantes
Cuba;-;-;1982;Espumantes
Emirados Árabes Unidos;-;-;1982;Espumantes
Eslovênia;-;-;1982;Espumantes
Espanha;46.249;47.183;1982;Espumantes
Estados Unidos;-;-;1982;Espumantes
França;13.128;32.209;1982;Espumantes
Geórgia;-;-;1982;Espumantes
Granada;-;-;1982;Espumantes
Grécia;-;-;1982;Espumantes
Hong Kong;-;-;1982;Espumantes
Hungria;-;-;1982;Espumantes
Indonésia;-;-;1982;Espumantes
Irlanda;-;-;1982;Espumantes
Israel;360;1.001;1982;Espumantes
Itália;32.542;35.237;1982;Espumantes
Luxemburgo;-;-;1982;Espumantes
México;-;-;1982;Espumantes
Moldávia;-;-;1982;Espumantes
Nova Zelândia;-;-;1982;Espumantes
Países Baixos;-;-;1982;Espumantes
Panamá;-;-;1982;Espumantes
Peru;-;-;1982;Espumantes
Portugal;242.143;311.212;1982;Espumantes
Reino Unido;-;-;1982;Espumantes
Romênia;-;-;1982;Espumantes
Suíça;-;-;1982;Espumantes
Tunísia;-;-;1982;Espumantes
Ucrânia;-;-;1982;Espumantes
Uruguai;-;-;1982;Espumantes
Não consta na tabela;-;-;1982;Espumantes
Não declarados;-;-;1982;Espumantes
Outros;1.350;10.200;1982;Espumantes
Total;467.907;560.370;1982;Espumantes
Argélia;-;-;1982;Uvas frescas
Argentina;1.004.840;767.208;1982;Uvas frescas
Brasil;-;-;1982;Uvas frescas
Chile;1.999.116;1.798.239;1982;Uvas frescas
Colômbia;99.070;123.176;1982;Uvas frescas
Egito;-;-;1982;Uvas frescas
Espanha;-;-;1982;Uvas frescas
Estados Unidos;5.060;7.590;1982;Uvas frescas
Grécia;-;-;1982;Uvas frescas
Itália;-;-;1982;Uvas frescas
México;-;-;1982;Uvas frescas
Peru;-;-;1982;Uvas frescas
Paraguai;-;-;1982;Uvas frescas
Portugal;-;-;1982;Uvas frescas
Panamá;-;-;1982;Uvas frescas
Reino Unido;-;-;1982;Uvas frescas
Uruguai;-;-;1982;Uvas frescas
Venezuela;-;-;1982;Uvas frescas
Não consta na tabela;-;-;1982;Uvas frescas
Outros;-;-;1982;Uvas frescas
Total;3.108.086;2.696.213;1982;Uvas frescas
Afeganistão;-;-;1982;Uvas passas
África do Sul;-;-;1982;Uvas passas
Alemanha, República Democrática;-;-;1982;Uvas passas
Arábia Saudita;-;-;1982;Uvas passas
Argentina;1.875.664;1.739.134;1982;Uvas passas
Austrália;-;-;1982;Uvas passas
Bélgica;-;-;1982;Uvas passas
Chile;961.997;1.572.341;1982;Uvas passas
China;-;-;1982;Uvas passas
China Continental;-;-;1982;Uvas passas
Cingapura;-;-;1982;Uvas passas
Costa Rica;-;-;1982;Uvas passas
Emirados;-;-;1982;Uvas passas
Espanha;-;-;1982;Uvas passas
Estados Unidos;140.722;266.479;1982;Uvas passas
França;-;-;1982;Uvas passas
Grécia;-;-;1982;Uvas passas
Guiana Britânica;-;-;1982;Uvas passas
Índia;-;-;1982;Uvas passas
Irã;-;-;1982;Uvas passas
Itália;-;-;1982;Uvas passas
Japão;-;-;1982;Uvas passas
México;1.214.593;2.115.847;1982;Uvas passas
Países Baixos;-;-;1982;Uvas passas
Paraguai;-;-;1982;Uvas passas
Peru;-;-;1982;Uvas passas
Portugal;-;-;1982;Uvas passas
Reino Unido;-;-;1982;Uvas passas
Suécia;-;-;1982;Uvas passas
Turquia;58.996;74.610;1982;Uvas passas
Uruguai;-;-;1982;Uvas passas
Uzbequistão;-;-;1982;Uvas passas
Venezuela;-;-;1982;Uvas passas
Não consta na tabela;-;-;1982;Uvas passas
Outros;-;-;1982;Uvas passas
Total;4.251.972;5.768.411;1982;Uvas passas
Africa do Sul;-;-;1982;Suco de uva
Alemanha;-;-;1982;Suco de uva
Argentina;-;-;1982;Suco de uva
Austria;-;-;1982;Suco de uva
Canadá;-;-;1982;Suco de uva
Coreia do Sul, República;-;-;1982;Suco de uva
Coreia do Norte, República;-;-;1982;Suco de uva
Chile;-;-;1982;Suco de uva
China;-;-;1982;Suco de uva
Dinamarca;-;-;1982;Suco de uva
Espanha;-;-;1982;Suco de uva
Estados Unidos;-;-;1982;Suco de uva
França;-;-;1982;Suco de uva
Guiana;-;-;1982;Suco de uva
Israel;-;-;1982;Suco de uva
itália;-;-;1982;Suco de uva
Japão;-;-;1982;Suco de uva
Líbano;-;-;1982;Suco de uva
México;-;-;1982;Suco de uva
Países Baixos;-;-;1982;Suco de uva
Panamá;48;99;1982;Suco de uva
Peru;-;-;1982;Suco de uva
Portugal;-;-;1982;Suco de uva
Reino Unido;-;-;1982;Suco de uva
Taiwan;-;-;1982;Suco de uva
Turquia;-;-;1982;Suco de uva
Uruguai;-;-;1982;Suco de uva
Venezuela;-;-;1982;Suco de uva
Outros;-;-;1982;Suco de uva
Total;48;99;1982;Suco de uva
Africa do Sul;-;-;1983;Vinhos de mesa
Alemanha;850.055;908.380;1983;Vinhos de mesa
Argélia;-;-;1983;Vinhos de mesa
Arábia Saudita;-;-;1983;Vinhos de mesa
Argentina;132.634;188.625;1983;Vinhos de mesa
Armênia;-;-;1983;Vinhos de mesa
Austrália;-;-;1983;Vinhos de mesa
Áustria;8.400;7.581;1983;Vinhos de mesa
Bermudas;-;-;1983;Vinhos de mesa
Bélgica;-;-;1983;Vinhos de mesa
Bolívia;-;-;1983;Vinhos de mesa
Bósnia-Herzegovina;-;-;1983;Vinhos de mesa
Brasil;-;-;1983;Vinhos de mesa
Bulgária;-;-;1983;Vinhos de mesa
Canada;-;-;1983;Vinhos de mesa
Chile;598.657;781.217;1983;Vinhos de mesa
China;-;-;1983;Vinhos de mesa
Coreia do Sul, República;-;-;1983;Vinhos de mesa
Croácia;-;-;1983;Vinhos de mesa
Cuba;-;-;1983;Vinhos de mesa
Emirados Árabes Unidos;-;-;1983;Vinhos de mesa
Eslovênia;-;-;1983;Vinhos de mesa
Eslováquia;-;-;1983;Vinhos de mesa
Espanha;65.961;60.450;1983;Vinhos de mesa
Estados Unidos;21.654;24.570;1983;Vinhos de mesa
França;267.008;329.128;1983;Vinhos de mesa
Geórgia;-;-;1983;Vinhos de mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1983;Vinhos de mesa
Grécia;-;-;1983;Vinhos de mesa
Hong Kong;-;-;1983;Vinhos de mesa
Hungria;-;-;1983;Vinhos de mesa
Indonésia;-;-;1983;Vinhos de mesa
Irlanda;-;-;1983;Vinhos de mesa
Israel;-;-;1983;Vinhos de mesa
Itália;266.333;308.260;1983;Vinhos de mesa
Japão;-;-;1983;Vinhos de mesa
Iugoslávia;-;-;1983;Vinhos de mesa
Líbano;-;-;1983;Vinhos de mesa
Luxemburgo;-;-;1983;Vinhos de mesa
Macedônia;-;-;1983;Vinhos de mesa
Marrocos;-;-;1983;Vinhos de mesa
México;-;-;1983;Vinhos de mesa
Moldávia;-;-;1983;Vinhos de mesa
Montenegro;-;-;1983;Vinhos de mesa
Noruega;-;-;1983;Vinhos de mesa
Nova Zelândia;-;-;1983;Vinhos de mesa
Países Baixos (Holanda);-;-;1983;Vinhos de mesa
Panamá;-;-;1983;Vinhos de mesa
Peru;-;-;1983;Vinhos de mesa
Porto Rico;-;-;1983;Vinhos de mesa
Portugal;1.189.656;1.338.370;1983;Vinhos de mesa
Reino Unido;-;-;1983;Vinhos de mesa
Republica Dominicana;-;-;1983;Vinhos de mesa
Romênia;-;-;1983;Vinhos de mesa
Rússia;-;-;1983;Vinhos de mesa
San Marino;-;-;1983;Vinhos de mesa
Sérvia;-;-;1983;Vinhos de mesa
Síria;-;-;1983;Vinhos de mesa
Suazilândia;-;-;1983;Vinhos de mesa
Suíça;-;-;1983;Vinhos de mesa
Tcheca, República;-;-;1983;Vinhos de mesa
Tunísia;-;-;1983;Vinhos de mesa
Turquia;-;-;1983;Vinhos de mesa
Ucrânia;-;-;1983;Vinhos de mesa
Uruguai;-;-;1983;Vinhos de mesa
Não consta na tabela;-;-;1983;Vinhos de mesa
Não declarados;-;-;1983;Vinhos de mesa
Outros;6.738;5.862;1983;Vinhos de mesa
Total;3.407.096;3.952.443;1983;Vinhos de mesa
Africa do Sul;-;-;1983;Espumantes
Alemanha;215.712;193.026;1983;Espumantes
Argentina;-;-;1983;Espumantes
Austrália;-;-;1983;Espumantes
Áustria;-;-;1983;Espumantes
Bermudas;-;-;1983;Espumantes
Bahamas;-;-;1983;Espumantes
Bélgica;-;-;1983;Espumantes
Brasil;-;-;1983;Espumantes
Bulgária;-;-;1983;Espumantes
Canada;-;-;1983;Espumantes
Chile;900;1.650;1983;Espumantes
Croácia;-;-;1983;Espumantes
Cuba;-;-;1983;Espumantes
Emirados Árabes Unidos;-;-;1983;Espumantes
Eslovênia;-;-;1983;Espumantes
Espanha;17.190;18.043;1983;Espumantes
Estados Unidos;-;-;1983;Espumantes
França;16.253;45.318;1983;Espumantes
Geórgia;-;-;1983;Espumantes
Granada;-;-;1983;Espumantes
Grécia;-;-;1983;Espumantes
Hong Kong;-;-;1983;Espumantes
Hungria;-;-;1983;Espumantes
Indonésia;-;-;1983;Espumantes
Irlanda;-;-;1983;Espumantes
Israel;270;749;1983;Espumantes
Itália;9.000;7.645;1983;Espumantes
Luxemburgo;-;-;1983;Espumantes
México;-;-;1983;Espumantes
Moldávia;-;-;1983;Espumantes
Nova Zelândia;-;-;1983;Espumantes
Países Baixos;-;-;1983;Espumantes
Panamá;-;-;1983;Espumantes
Peru;-;-;1983;Espumantes
Portugal;231.759;274.033;1983;Espumantes
Reino Unido;-;-;1983;Espumantes
Romênia;-;-;1983;Espumantes
Suíça;-;-;1983;Espumantes
Tunísia;-;-;1983;Espumantes
Ucrânia;-;-;1983;Espumantes
Uruguai;-;-;1983;Espumantes
Não consta na tabela;-;-;1983;Espumantes
Não declarados;-;-;1983;Espumantes
Outros;1.188;8.588;1983;Espumantes
Total;492.272;549.052;1983;Espumantes
Argélia;-;-;1983;Uvas frescas
Argentina;1.394.060;864.456;1983;Uvas frescas
Brasil;-;-;1983;Uvas frescas
Chile;1.217.488;922.064;1983;Uvas frescas
Colômbia;53.450;59.690;1983;Uvas frescas
Egito;-;-;1983;Uvas frescas
Espanha;-;-;1983;Uvas frescas
Estados Unidos;9.240;14.910;1983;Uvas frescas
Grécia;-;-;1983;Uvas frescas
Itália;-;-;1983;Uvas frescas
México;-;-;1983;Uvas frescas
Peru;-;-;1983;Uvas frescas
Paraguai;-;-;1983;Uvas frescas
Portugal;-;-;1983;Uvas frescas
Panamá;-;-;1983;Uvas frescas
Reino Unido;-;-;1983;Uvas frescas
Uruguai;-;-;1983;Uvas frescas
Venezuela;-;-;1983;Uvas frescas
Não consta na tabela;-;-;1983;Uvas frescas
Outros;-;-;1983;Uvas frescas
Total;2.674.238;1.861.120;1983;Uvas frescas
Afeganistão;-;-;1983;Uvas passas
África do Sul;-;-;1983;Uvas passas
Alemanha, República Democrática;-;-;1983;Uvas passas
Arábia Saudita;-;-;1983;Uvas passas
Argentina;2.238.826;1.476.166;1983;Uvas passas
Austrália;-;-;1983;Uvas passas
Bélgica;-;-;1983;Uvas passas
Chile;1.258.680;1.527.431;1983;Uvas passas
China;-;-;1983;Uvas passas
China Continental;-;-;1983;Uvas passas
Cingapura;-;-;1983;Uvas passas
Costa Rica;-;-;1983;Uvas passas
Emirados;-;-;1983;Uvas passas
Espanha;-;-;1983;Uvas passas
Estados Unidos;329.134;395.315;1983;Uvas passas
França;-;-;1983;Uvas passas
Grécia;-;-;1983;Uvas passas
Guiana Britânica;-;-;1983;Uvas passas
Índia;-;-;1983;Uvas passas
Irã;-;-;1983;Uvas passas
Itália;-;-;1983;Uvas passas
Japão;-;-;1983;Uvas passas
México;1.485.417;1.944.974;1983;Uvas passas
Países Baixos;-;-;1983;Uvas passas
Paraguai;-;-;1983;Uvas passas
Peru;-;-;1983;Uvas passas
Portugal;-;-;1983;Uvas passas
Reino Unido;-;-;1983;Uvas passas
Suécia;-;-;1983;Uvas passas
Turquia;-;-;1983;Uvas passas
Uruguai;-;-;1983;Uvas passas
Uzbequistão;-;-;1983;Uvas passas
Venezuela;-;-;1983;Uvas passas
Não consta na tabela;-;-;1983;Uvas passas
Outros;-;-;1983;Uvas passas
Total;5.312.057;5.343.886;1983;Uvas passas
Africa do Sul;-;-;1983;Suco de uva
Alemanha;-;-;1983;Suco de uva
Argentina;-;-;1983;Suco de uva
Austria;-;-;1983;Suco de uva
Canadá;-;-;1983;Suco de uva
Coreia do Sul, República;-;-;1983;Suco de uva
Coreia do Norte, República;-;-;1983;Suco de uva
Chile;-;-;1983;Suco de uva
China;-;-;1983;Suco de uva
Dinamarca;-;-;1983;Suco de uva
Espanha;-;-;1983;Suco de uva
Estados Unidos;-;-;1983;Suco de uva
França;-;-;1983;Suco de uva
Guiana;-;-;1983;Suco de uva
Israel;-;-;1983;Suco de uva
itália;-;-;1983;Suco de uva
Japão;-;-;1983;Suco de uva
Líbano;-;-;1983;Suco de uva
México;-;-;1983;Suco de uva
Países Baixos;-;-;1983;Suco de uva
Panamá;-;-;1983;Suco de uva
Peru;-;-;1983;Suco de uva
Portugal;-;-;1983;Suco de uva
Reino Unido;-;-;1983;Suco de uva
Taiwan;-;-;1983;Suco de uva
Turquia;-;-;1983;Suco de uva
Uruguai;-;-;1983;Suco de uva
Venezuela;-;-;1983;Suco de uva
Outros;-;-;1983;Suco de uva
Total;0;0;1983;Suco de uva
Africa do Sul;-;-;1984;Vinhos de mesa
Alemanha;586.645;564.129;1984;Vinhos de mesa
Argélia;-;-;1984;Vinhos de mesa
Arábia Saudita;-;-;1984;Vinhos de mesa
Argentina;42.438;64.603;1984;Vinhos de mesa
Armênia;-;-;1984;Vinhos de mesa
Austrália;-;-;1984;Vinhos de mesa
Áustria;-;-;1984;Vinhos de mesa
Bermudas;-;-;1984;Vinhos de mesa
Bélgica;-;-;1984;Vinhos de mesa
Bolívia;-;-;1984;Vinhos de mesa
Bósnia-Herzegovina;-;-;1984;Vinhos de mesa
Brasil;-;-;1984;Vinhos de mesa
Bulgária;-;-;1984;Vinhos de mesa
Canada;-;-;1984;Vinhos de mesa
Chile;490.217;527.176;1984;Vinhos de mesa
China;-;-;1984;Vinhos de mesa
Coreia do Sul, República;-;-;1984;Vinhos de mesa
Croácia;-;-;1984;Vinhos de mesa
Cuba;-;-;1984;Vinhos de mesa
Emirados Árabes Unidos;-;-;1984;Vinhos de mesa
Eslovênia;-;-;1984;Vinhos de mesa
Eslováquia;-;-;1984;Vinhos de mesa
Espanha;7.200;8.421;1984;Vinhos de mesa
Estados Unidos;-;-;1984;Vinhos de mesa
França;117.087;138.156;1984;Vinhos de mesa
Geórgia;-;-;1984;Vinhos de mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1984;Vinhos de mesa
Grécia;-;-;1984;Vinhos de mesa
Hong Kong;-;-;1984;Vinhos de mesa
Hungria;-;-;1984;Vinhos de mesa
Indonésia;-;-;1984;Vinhos de mesa
Irlanda;-;-;1984;Vinhos de mesa
Israel;-;-;1984;Vinhos de mesa
Itália;132.321;141.201;1984;Vinhos de mesa
Japão;-;-;1984;Vinhos de mesa
Iugoslávia;-;-;1984;Vinhos de mesa
Líbano;-;-;1984;Vinhos de mesa
Luxemburgo;-;-;1984;Vinhos de mesa
Macedônia;-;-;1984;Vinhos de mesa
Marrocos;-;-;1984;Vinhos de mesa
México;-;-;1984;Vinhos de mesa
Moldávia;-;-;1984;Vinhos de mesa
Montenegro;-;-;1984;Vinhos de mesa
Noruega;-;-;1984;Vinhos de mesa
Nova Zelândia;-;-;1984;Vinhos de mesa
Países Baixos (Holanda);-;-;1984;Vinhos de mesa
Panamá;-;-;1984;Vinhos de mesa
Peru;-;-;1984;Vinhos de mesa
Porto Rico;-;-;1984;Vinhos de mesa
Portugal;536.706;531.515;1984;Vinhos de mesa
Reino Unido;-;-;1984;Vinhos de mesa
Republica Dominicana;-;-;1984;Vinhos de mesa
Romênia;-;-;1984;Vinhos de mesa
Rússia;-;-;1984;Vinhos de mesa
San Marino;-;-;1984;Vinhos de mesa
Sérvia;-;-;1984;Vinhos de mesa
Síria;-;-;1984;Vinhos de mesa
Suazilândia;-;-;1984;Vinhos de mesa
Suíça;-;-;1984;Vinhos de mesa
Tcheca, República;-;-;1984;Vinhos de mesa
Tunísia;-;-;1984;Vinhos de mesa
Turquia;-;-;1984;Vinhos de mesa
Ucrânia;-;-;1984;Vinhos de mesa
Uruguai;-;-;1984;Vinhos de mesa
Não consta na tabela;-;-;1984;Vinhos de mesa
Não declarados;-;-;1984;Vinhos de mesa
Outros;26.490;34.499;1984;Vinhos de mesa
Total;1.939.104;2.009.700;1984;Vinhos de mesa
Africa do Sul;-;-;1984;Espumantes
Alemanha;3.360;3.130;1984;Espumantes
Argentina;-;-;1984;Espumantes
Austrália;-;-;1984;Espumantes
Áustria;-;-;1984;Espumantes
Bermudas;-;-;1984;Espumantes
Bahamas;-;-;1984;Espumantes
Bélgica;-;-;1984;Espumantes
Brasil;-;-;1984;Espumantes
Bulgária;-;-;1984;Espumantes
Canada;-;-;1984;Espumantes
Chile;4.200;5.500;1984;Espumantes
Croácia;-;-;1984;Espumantes
Cuba;-;-;1984;Espumantes
Emirados Árabes Unidos;-;-;1984;Espumantes
Eslovênia;-;-;1984;Espumantes
Espanha;12.824;13.110;1984;Espumantes
Estados Unidos;-;-;1984;Espumantes
França;11.308;37.594;1984;Espumantes
Geórgia;-;-;1984;Espumantes
Granada;-;-;1984;Espumantes
Grécia;-;-;1984;Espumantes
Hong Kong;-;-;1984;Espumantes
Hungria;-;-;1984;Espumantes
Indonésia;-;-;1984;Espumantes
Irlanda;-;-;1984;Espumantes
Israel;720;1.880;1984;Espumantes
Itália;2.430;1.917;1984;Espumantes
Luxemburgo;-;-;1984;Espumantes
México;4.158;6.060;1984;Espumantes
Moldávia;-;-;1984;Espumantes
Nova Zelândia;-;-;1984;Espumantes
Países Baixos;-;-;1984;Espumantes
Panamá;-;-;1984;Espumantes
Peru;-;-;1984;Espumantes
Portugal;126.855;136.371;1984;Espumantes
Reino Unido;-;-;1984;Espumantes
Romênia;-;-;1984;Espumantes
Suíça;-;-;1984;Espumantes
Tunísia;-;-;1984;Espumantes
Ucrânia;-;-;1984;Espumantes
Uruguai;-;-;1984;Espumantes
Não consta na tabela;-;-;1984;Espumantes
Não declarados;-;-;1984;Espumantes
Outros;1.080;7.152;1984;Espumantes
Total;166.935;212.714;1984;Espumantes
Argélia;-;-;1984;Uvas frescas
Argentina;251.900;146.965;1984;Uvas frescas
Brasil;-;-;1984;Uvas frescas
Chile;880.497;695.522;1984;Uvas frescas
Colômbia;4.500;5.400;1984;Uvas frescas
Egito;-;-;1984;Uvas frescas
Espanha;60.000;24.000;1984;Uvas frescas
Estados Unidos;6.490;10.060;1984;Uvas frescas
Grécia;-;-;1984;Uvas frescas
Itália;-;-;1984;Uvas frescas
México;-;-;1984;Uvas frescas
Peru;-;-;1984;Uvas frescas
Paraguai;-;-;1984;Uvas frescas
Portugal;-;-;1984;Uvas frescas
Panamá;-;-;1984;Uvas frescas
Reino Unido;-;-;1984;Uvas frescas
Uruguai;-;-;1984;Uvas frescas
Venezuela;-;-;1984;Uvas frescas
Não consta na tabela;-;-;1984;Uvas frescas
Outros;-;-;1984;Uvas frescas
Total;1.203.387;881.947;1984;Uvas frescas
Afeganistão;-;-;1984;Uvas passas
África do Sul;-;-;1984;Uvas passas
Alemanha, República Democrática;-;-;1984;Uvas passas
Arábia Saudita;-;-;1984;Uvas passas
Argentina;1.662.475;1.626.556;1984;Uvas passas
Austrália;-;-;1984;Uvas passas
Bélgica;-;-;1984;Uvas passas
Chile;1.100.570;1.051.746;1984;Uvas passas
China;-;-;1984;Uvas passas
China Continental;-;-;1984;Uvas passas
Cingapura;-;-;1984;Uvas passas
Costa Rica;-;-;1984;Uvas passas
Emirados;-;-;1984;Uvas passas
Espanha;-;-;1984;Uvas passas
Estados Unidos;128.745;132.786;1984;Uvas passas
França;-;-;1984;Uvas passas
Grécia;-;-;1984;Uvas passas
Guiana Britânica;-;-;1984;Uvas passas
Índia;-;-;1984;Uvas passas
Irã;-;-;1984;Uvas passas
Itália;-;-;1984;Uvas passas
Japão;-;-;1984;Uvas passas
México;520.390;578.989;1984;Uvas passas
Países Baixos;-;-;1984;Uvas passas
Paraguai;-;-;1984;Uvas passas
Peru;-;-;1984;Uvas passas
Portugal;-;-;1984;Uvas passas
Reino Unido;-;-;1984;Uvas passas
Suécia;-;-;1984;Uvas passas
Turquia;85.288;65.951;1984;Uvas passas
Uruguai;-;-;1984;Uvas passas
Uzbequistão;-;-;1984;Uvas passas
Venezuela;-;-;1984;Uvas passas
Não consta na tabela;-;-;1984;Uvas passas
Outros;-;-;1984;Uvas passas
Total;3.497.468;3.456.028;1984;Uvas passas
Africa do Sul;-;-;1984;Suco de uva
Alemanha;-;-;1984;Suco de uva
Argentina;-;-;1984;Suco de uva
Austria;-;-;1984;Suco de uva
Canadá;-;-;1984;Suco de uva
Coreia do Sul, República;-;-;1984;Suco de uva
Coreia do Norte, República;-;-;1984;Suco de uva
Chile;-;-;1984;Suco de uva
China;-;-;1984;Suco de uva
Dinamarca;-;-;1984;Suco de uva
Espanha;-;-;1984;Suco de uva
Estados Unidos;-;-;1984;Suco de uva
França;-;-;1984;Suco de uva
Guiana;-;-;1984;Suco de uva
Israel;-;-;1984;Suco de uva
itália;-;-;1984;Suco de uva
Japão;-;-;1984;Suco de uva
Líbano;-;-;1984;Suco de uva
México;-;-;1984;Suco de uva
Países Baixos;-;-;1984;Suco de uva
Panamá;-;-;1984;Suco de uva
Peru;-;-;1984;Suco de uva
Portugal;-;-;1984;Suco de uva
