cultivar;quantidade;ano;opcao;sem_definicao
TINTAS;10.448.228;1970;Viníferas;-
Alicante Bouschet;-;1970;Viníferas;-
Ancelota;-;1970;Viníferas;-
Aramon;-;1970;Viníferas;-
Alfrocheiro;-;1970;Viníferas;-
Arinarnoa;-;1970;Viníferas;-
Aspirant Bouschet;-;1970;Viníferas;-
Barbera;4.548.313;1970;Viníferas;-
Bonarda;1.631.610;1970;Viníferas;-
Cabernet Franc;238.837;1970;Viníferas;-
Cabernet Sauvignon;-;1970;Viníferas;-
Caladoc;-;1970;Viníferas;-
Campanario;-;1970;Viníferas;-
Canaiolo;596.766;1970;Viníferas;-
Carignan;-;1970;Viníferas;-
Carmenere;1.235;1970;Viníferas;-
Castelão;-;1970;Viníferas;-
Corvina;-;1970;Viníferas;-
Croatina;-;1970;Viníferas;-
Cinsaut;-;1970;Viníferas;-
Dom Felder;-;1970;Viníferas;-
Dolcetto;-;1970;Viníferas;-
Durif;-;1970;Viníferas;-
Egiodola;-;1970;Viníferas;-
Ekigaina;-;1970;Viníferas;-
Festival (Sugraone);-;1970;Viníferas;-
Franconia;-;1970;Viníferas;-
Freisa;1.661;1970;Viníferas;-
Gamay St Romain;-;1970;Viníferas;-
Gamay Beaujolais;-;1970;Viníferas;-
Grand Noir;-;1970;Viníferas;-
Grenache;19.753;1970;Viníferas;-
Jaen;-;1970;Viníferas;-
Lagrein;-;1970;Viníferas;-
Lambrusco;2.259;1970;Viníferas;-
Malbec;4.097;1970;Viníferas;-
Marzemina;62.546;1970;Viníferas;-
Merlot;185.596;1970;Viníferas;-
Marselan;-;1970;Viníferas;-
Molinera;-;1970;Viníferas;-
Montepulciano;-;1970;Viníferas;-
Moscato Bailey;-;1970;Viníferas;-
Napa Gamay;-;1970;Viníferas;-
Nebbiolo;-;1970;Viníferas;-
Petit Verdot;-;1970;Viníferas;-
Petite Sirah;-;1970;Viníferas;-
Pinotage;-;1970;Viníferas;-
Pinot Noir;-;1970;Viníferas;-
Pinot Saint George;-;1970;Viníferas;-
Piriquita;-;1970;Viníferas;-
Rebo;-;1970;Viníferas;-
Refosco;-;1970;Viníferas;-
Rondinella;-;1970;Viníferas;-
Ruby Cabernet;-;1970;Viníferas;-
Sangiovese;27.566;1970;Viníferas;-
Sira (falsa);3.127.989;1970;Viníferas;-
Tannat;-;1970;Viníferas;-
Tempranillo;-;1970;Viníferas;-
Teroldego;-;1970;Viníferas;-
Torrontes;-;1970;Viníferas;-
Tinta Barroca;-;1970;Viníferas;-
Touriga Francesa;-;1970;Viníferas;-
Touriga Nacional;-;1970;Viníferas;-
Tinta Madeira;-;1970;Viníferas;-
Tintoria;-;1970;Viníferas;-
Trincdeira;-;1970;Viníferas;-
Trousseau;-;1970;Viníferas;-
Zinfandel;-;1970;Viníferas;-
Outras1;-;1970;Viníferas;-
BRANCAS E ROSADAS;18.858.541;1970;Viníferas;-
Aliatico;-;1970;Viníferas;-
Aligote;530;1970;Viníferas;-
Altesse;-;1970;Viníferas;-
Alvarinho;-;1970;Viníferas;-
Arriloba;-;1970;Viníferas;-
Auxerrois;-;1970;Viníferas;-
Burger;-;1970;Viníferas;-
Chardonnay;-;1970;Viníferas;-
Chasselas;-;1970;Viníferas;-
Chenin Blanc;-;1970;Viníferas;-
Clairette(1);146.617;1970;Viníferas;-
Colombard;-;1970;Viníferas;-
Flora;-;1970;Viníferas;-
Garganega;-;1970;Viníferas;-
Gewurztraminer;-;1970;Viníferas;-
Gouveio;-;1970;Viníferas;-
Gros Manseng;-;1970;Viníferas;-
Italia (Pirovano 65) (PE);-;1970;Viníferas;-
Maccabeo;-;1970;Viníferas;-
Malvasia;878.012;1970;Viníferas;-
Malvasia Amarela;-;1970;Viníferas;-
Malvasia Bianca;-;1970;Viníferas;-
Malvasia Chianti;-;1970;Viníferas;-
Malvasia Verde;-;1970;Viníferas;-
Malvasia di Candia;-;1970;Viníferas;-
Malvasia Istriana;-;1970;Viníferas;-
Mistura de uvas viníferas branco;-;1970;Viníferas;-
Mistura de uvas viníferas rosado;-;1970;Viníferas;-
Moscato Branco;5.772.931;1970;Viníferas;-
Moscato Canelli;-;1970;Viníferas;-
Moscato Giallo;-;1970;Viníferas;-
Moscato Nazareno;-;1970;Viníferas;-
Moscato Bianco R2;-;1970;Viníferas;-
Moscato de Alexandria;-;1970;Viníferas;-
Moscato Rosado;-;1970;Viníferas;-
Muscat à Petits Grains;-;1970;Viníferas;-
Muller Thurgau;-;1970;Viníferas;-
Muscadelle;-;1970;Viníferas;-
Ora;-;1970;Viníferas;-
Palomino;-;1970;Viníferas;-
Petit Manseng;-;1970;Viníferas;-
Peverella;2.084.128;1970;Viníferas;-
Pinot Blanc;4.000;1970;Viníferas;-
Pinot Gris;-;1970;Viníferas;-
Prosecco;-;1970;Viníferas;-
Red Veltliner;-;1970;Viníferas;-
Riesling Italico;413.149;1970;Viníferas;-
Riesling Renano;-;1970;Viníferas;-
Sauvignon Blanc(2);2.819;1970;Viníferas;-
Sauvignon Gris;-;1970;Viníferas;-
Seara Nova;-;1970;Viníferas;-
Semillon;1.916;1970;Viníferas;-
Schonburger;-;1970;Viníferas;-
Sylvaner;-;1970;Viníferas;-
Tocai Friulano;-;1970;Viníferas;-
Trebbiano;7.277.270;1970;Viníferas;-
Trebbiano Toscano;-;1970;Viníferas;-
Verdea;-;1970;Viníferas;-
Verdelho;-;1970;Viníferas;-
Verdiso;7.950;1970;Viníferas;-
Vermentino;20.461;1970;Viníferas;-
Vernaccia;122.467;1970;Viníferas;-
Viognier;-;1970;Viníferas;-
Outras(3);2.126.291;1970;Viníferas;-
Total;29.306.769;1970;Viníferas;-
TINTAS;284.285.642;1970;Americanas e híbridas;-
Bacarina;82.899;1970;Americanas e híbridas;-
Bailey;-;1970;Americanas e híbridas;-
Bordo;7.242.197;1970;Americanas e híbridas;-
Bourdin (S);-;1970;Americanas e híbridas;-
BRS Carmen;-;1970;Americanas e híbridas;-
BRS Cora;-;1970;Americanas e híbridas;-
BRS Magna;-;1970;Americanas e híbridas;-
BRS Margot;-;1970;Americanas e híbridas;-
BRS Morena;-;1970;Americanas e híbridas;-
BRS Rúbea;-;1970;Americanas e híbridas;-
BRS Violeta;-;1970;Americanas e híbridas;-
BRS Vitória;-;1970;Americanas e híbridas;-
Champagnon (Champanheta);-;1970;Americanas e híbridas;-
Coleções;-;1970;Americanas e híbridas;-
Concord;5.407.624;1970;Americanas e híbridas;-
Concord clone 30;-;1970;Americanas e híbridas;-
Couderc;2.713.692;1970;Americanas e híbridas;-
Cynthiana(1);568.653;1970;Americanas e híbridas;-
Herbemont;62.053.013;1970;Americanas e híbridas;-
IAC 138022;-;1970;Americanas e híbridas;-
Isabel;193.840.398;1970;Americanas e híbridas;-
Isabel Precoce;-;1970;Americanas e híbridas;-
Jacquez;390.593;1970;Americanas e híbridas;-
Kyoko;-;1970;Americanas e híbridas;-
Landot;134.384;1970;Americanas e híbridas;-
Mistura de uvas americanas tinto;-;1970;Americanas e híbridas;-
Oberlin;15.682;1970;Americanas e híbridas;-
Othello;33.013;1970;Americanas e híbridas;-
Paco;-;1970;Americanas e híbridas;-
Patricia;-;1970;Americanas e híbridas;-
Seibel;11.803.494;1970;Americanas e híbridas;-
Seibel 2 (seibeleto);-;1970;Americanas e híbridas;-
Seyve Willard (Tinta);-;1970;Americanas e híbridas;-
Vênus;-;1970;Americanas e híbridas;-
BRANCAS E ROSADAS;985.007;1970;Americanas e híbridas;-
Baco;4.647;1970;Americanas e híbridas;-
Bokay;-;1970;Americanas e híbridas;-
BRS Clara;-;1970;Americanas e híbridas;-
BRS Lorena;-;1970;Americanas e híbridas;-
Couderc 13;-;1970;Americanas e híbridas;-
Delaware;22.705;1970;Americanas e híbridas;-
Dona Zillá;-;1970;Americanas e híbridas;-
Dut Chess;-;1970;Americanas e híbridas;-
Goethe;311.458;1970;Americanas e híbridas;-
IAC;-;1970;Americanas e híbridas;-
Juliana;-;1970;Americanas e híbridas;-
Martha;15.045;1970;Americanas e híbridas;-
Mistura de uvas americanas;-;1970;Americanas e híbridas;-
Moscato Embrapa;-;1970;Americanas e híbridas;-
Niagara;631.152;1970;Americanas e híbridas;-
Niagara Branca;-;1970;Americanas e híbridas;-
Niagara Rosada;-;1970;Americanas e híbridas;-
Poloske;-;1970;Americanas e híbridas;-
Seleções;-;1970;Americanas e híbridas;-
Seyve Villard;-;1970;Americanas e híbridas;-
Seyve Villard 5276;-;1970;Americanas e híbridas;-
Seyve Villard 12375;-;1970;Americanas e híbridas;-
Tardia de Caxias;-;1970;Americanas e híbridas;-
Outras(2);-;1970;Americanas e híbridas;-
Total;285.270.649;1970;Americanas e híbridas;-
TINTAS;56.976;1970;Uvas de mesa;-
Alphonse Lavallee;31.878;1970;Uvas de mesa;-
Moscato de Hamburgo;25.098;1970;Uvas de mesa;-
BRANCAS;3.900;1970;Uvas de mesa;-
Cardinal;-;1970;Uvas de mesa;-
Golden Queen;167;1970;Uvas de mesa;-
Patrícia;-;1970;Uvas de mesa;-
Perlona;-;1970;Uvas de mesa;-
Italia;3.733;1970;Uvas de mesa;-
Rubi (Itália, Itália Ro);-;1970;Uvas de mesa;-
Total;60.876;1970;Uvas de mesa;-
-;3.675.463;1970;Sem classificação;Sem classificação
-;3.675.463;1970;Sem classificação;Total
TINTAS;11.012.833;1971;Viníferas;-
Alicante Bouschet;-;1971;Viníferas;-
Ancelota;-;1971;Viníferas;-
Aramon;-;1971;Viníferas;-
Alfrocheiro;-;1971;Viníferas;-
Arinarnoa;-;1971;Viníferas;-
Aspirant Bouschet;-;1971;Viníferas;-
Barbera;3.971.627;1971;Viníferas;-
Bonarda;1.868.929;1971;Viníferas;-
Cabernet Franc;324.924;1971;Viníferas;-
Cabernet Sauvignon;-;1971;Viníferas;-
Caladoc;-;1971;Viníferas;-
Campanario;-;1971;Viníferas;-
Canaiolo;607.921;1971;Viníferas;-
Carignan;11.796;1971;Viníferas;-
Carmenere;18.288;1971;Viníferas;-
Castelão;-;1971;Viníferas;-
Corvina;-;1971;Viníferas;-
Croatina;-;1971;Viníferas;-
Cinsaut;-;1971;Viníferas;-
Dom Felder;-;1971;Viníferas;-
Dolcetto;-;1971;Viníferas;-
Durif;-;1971;Viníferas;-
Egiodola;-;1971;Viníferas;-
Ekigaina;-;1971;Viníferas;-
Festival (Sugraone);-;1971;Viníferas;-
Franconia;-;1971;Viníferas;-
Freisa;1.519;1971;Viníferas;-
Gamay St Romain;-;1971;Viníferas;-
Gamay Beaujolais;-;1971;Viníferas;-
Grand Noir;930;1971;Viníferas;-
Grenache;22.418;1971;Viníferas;-
Jaen;-;1971;Viníferas;-
Lagrein;-;1971;Viníferas;-
Lambrusco;2.670;1971;Viníferas;-
Malbec;4.884;1971;Viníferas;-
Marzemina;66.569;1971;Viníferas;-
Merlot;164.533;1971;Viníferas;-
Marselan;-;1971;Viníferas;-
Molinera;-;1971;Viníferas;-
Montepulciano;-;1971;Viníferas;-
Moscato Bailey;-;1971;Viníferas;-
Napa Gamay;-;1971;Viníferas;-
Nebbiolo;-;1971;Viníferas;-
Petit Verdot;-;1971;Viníferas;-
Petite Sirah;-;1971;Viníferas;-
Pinotage;-;1971;Viníferas;-
Pinot Noir;-;1971;Viníferas;-
Pinot Saint George;-;1971;Viníferas;-
Piriquita;-;1971;Viníferas;-
Rebo;-;1971;Viníferas;-
Refosco;-;1971;Viníferas;-
Rondinella;-;1971;Viníferas;-
Ruby Cabernet;-;1971;Viníferas;-
Sangiovese;59.316;1971;Viníferas;-
Sira (falsa);3.886.509;1971;Viníferas;-
Tannat;-;1971;Viníferas;-
Tempranillo;-;1971;Viníferas;-
Teroldego;-;1971;Viníferas;-
Torrontes;-;1971;Viníferas;-
Tinta Barroca;-;1971;Viníferas;-
Touriga Francesa;-;1971;Viníferas;-
Touriga Nacional;-;1971;Viníferas;-
Tinta Madeira;-;1971;Viníferas;-
Tintoria;-;1971;Viníferas;-
Trincdeira;-;1971;Viníferas;-
Trousseau;-;1971;Viníferas;-
Zinfandel;-;1971;Viníferas;-
Outras1;-;1971;Viníferas;-
BRANCAS E ROSADAS;22.168.237;1971;Viníferas;-
Aliatico;-;1971;Viníferas;-
Aligote;1.000;1971;Viníferas;-
Altesse;-;1971;Viníferas;-
Alvarinho;-;1971;Viníferas;-
Arriloba;-;1971;Viníferas;-
Auxerrois;-;1971;Viníferas;-
Burger;-;1971;Viníferas;-
Chardonnay;-;1971;Viníferas;-
Chasselas;-;1971;Viníferas;-
Chenin Blanc;-;1971;Viníferas;-
Clairette(1);116.887;1971;Viníferas;-
Colombard;-;1971;Viníferas;-
Flora;-;1971;Viníferas;-
Garganega;-;1971;Viníferas;-
Gewurztraminer;-;1971;Viníferas;-
Gouveio;-;1971;Viníferas;-
Gros Manseng;-;1971;Viníferas;-
Italia (Pirovano 65) (PE);-;1971;Viníferas;-
Maccabeo;-;1971;Viníferas;-
Malvasia;611.457;1971;Viníferas;-
Malvasia Amarela;-;1971;Viníferas;-
Malvasia Bianca;-;1971;Viníferas;-
Malvasia Chianti;-;1971;Viníferas;-
Malvasia Verde;-;1971;Viníferas;-
Malvasia di Candia;-;1971;Viníferas;-
Malvasia Istriana;-;1971;Viníferas;-
Mistura de uvas viníferas branco;-;1971;Viníferas;-
Mistura de uvas viníferas rosado;-;1971;Viníferas;-
Moscato Branco;5.334.475;1971;Viníferas;-
Moscato Canelli;-;1971;Viníferas;-
Moscato Giallo;-;1971;Viníferas;-
Moscato Nazareno;-;1971;Viníferas;-
Moscato Bianco R2;-;1971;Viníferas;-
Moscato de Alexandria;-;1971;Viníferas;-
Moscato Rosado;-;1971;Viníferas;-
Muscat à Petits Grains;-;1971;Viníferas;-
Muller Thurgau;-;1971;Viníferas;-
Muscadelle;-;1971;Viníferas;-
Ora;-;1971;Viníferas;-
Palomino;-;1971;Viníferas;-
Petit Manseng;-;1971;Viníferas;-
Peverella;2.117.931;1971;Viníferas;-
Pinot Blanc;-;1971;Viníferas;-
Pinot Gris;-;1971;Viníferas;-
Prosecco;-;1971;Viníferas;-
Red Veltliner;-;1971;Viníferas;-
Riesling Italico;404.159;1971;Viníferas;-
Riesling Renano;-;1971;Viníferas;-
Sauvignon Blanc(2);5.492;1971;Viníferas;-
Sauvignon Gris;-;1971;Viníferas;-
Seara Nova;-;1971;Viníferas;-
Semillon;-;1971;Viníferas;-
Schonburger;-;1971;Viníferas;-
Sylvaner;-;1971;Viníferas;-
Tocai Friulano;-;1971;Viníferas;-
Trebbiano;12.225.175;1971;Viníferas;-
Trebbiano Toscano;-;1971;Viníferas;-
Verdea;6.184;1971;Viníferas;-
Verdelho;-;1971;Viníferas;-
Verdiso;770;1971;Viníferas;-
Vermentino;6.097;1971;Viníferas;-
Vernaccia;190.297;1971;Viníferas;-
Viognier;-;1971;Viníferas;-
Outras(3);1.148.313;1971;Viníferas;-
Total;33.181.070;1971;Viníferas;-
TINTAS;193.695.427;1971;Americanas e híbridas;-
Bacarina;106.962;1971;Americanas e híbridas;-
Bailey;-;1971;Americanas e híbridas;-
Bordo;7.227.090;1971;Americanas e híbridas;-
Bourdin (S);-;1971;Americanas e híbridas;-
BRS Carmen;-;1971;Americanas e híbridas;-
BRS Cora;-;1971;Americanas e híbridas;-
BRS Magna;-;1971;Americanas e híbridas;-
BRS Margot;-;1971;Americanas e híbridas;-
BRS Morena;-;1971;Americanas e híbridas;-
BRS Rúbea;-;1971;Americanas e híbridas;-
BRS Violeta;-;1971;Americanas e híbridas;-
BRS Vitória;-;1971;Americanas e híbridas;-
Champagnon (Champanheta);-;1971;Americanas e híbridas;-
Coleções;-;1971;Americanas e híbridas;-
Concord;3.726.469;1971;Americanas e híbridas;-
Concord clone 30;-;1971;Americanas e híbridas;-
Couderc;2.835.642;1971;Americanas e híbridas;-
Cynthiana(1);419.550;1971;Americanas e híbridas;-
Herbemont;43.864.620;1971;Americanas e híbridas;-
IAC 138022;-;1971;Americanas e híbridas;-
Isabel;126.754.464;1971;Americanas e híbridas;-
Isabel Precoce;-;1971;Americanas e híbridas;-
Jacquez;203.081;1971;Americanas e híbridas;-
Kyoko;-;1971;Americanas e híbridas;-
Landot;106.917;1971;Americanas e híbridas;-
Mistura de uvas americanas tinto;-;1971;Americanas e híbridas;-
Oberlin;34.722;1971;Americanas e híbridas;-
Othello;106.190;1971;Americanas e híbridas;-
Paco;-;1971;Americanas e híbridas;-
Patricia;-;1971;Americanas e híbridas;-
Seibel;8.309.720;1971;Americanas e híbridas;-
Seibel 2 (seibeleto);-;1971;Americanas e híbridas;-
Seyve Willard (Tinta);-;1971;Americanas e híbridas;-
Vênus;-;1971;Americanas e híbridas;-
BRANCAS E ROSADAS;557.294;1971;Americanas e híbridas;-
Baco;5.873;1971;Americanas e híbridas;-
Bokay;-;1971;Americanas e híbridas;-
BRS Clara;-;1971;Americanas e híbridas;-
BRS Lorena;-;1971;Americanas e híbridas;-
Couderc 13;-;1971;Americanas e híbridas;-
Delaware;22.883;1971;Americanas e híbridas;-
Dona Zillá;-;1971;Americanas e híbridas;-
Dut Chess;-;1971;Americanas e híbridas;-
Goethe;267.549;1971;Americanas e híbridas;-
IAC;-;1971;Americanas e híbridas;-
Juliana;-;1971;Americanas e híbridas;-
Martha;21.972;1971;Americanas e híbridas;-
Mistura de uvas americanas;-;1971;Americanas e híbridas;-
Moscato Embrapa;-;1971;Americanas e híbridas;-
Niagara;239.017;1971;Americanas e híbridas;-
Niagara Branca;-;1971;Americanas e híbridas;-
Niagara Rosada;-;1971;Americanas e híbridas;-
Poloske;-;1971;Americanas e híbridas;-
Seleções;-;1971;Americanas e híbridas;-
Seyve Villard;-;1971;Americanas e híbridas;-
Seyve Villard 5276;-;1971;Americanas e híbridas;-
Seyve Villard 12375;-;1971;Americanas e híbridas;-
Tardia de Caxias;-;1971;Americanas e híbridas;-
Outras(2);-;1971;Americanas e híbridas;-
Total;194.252.721;1971;Americanas e híbridas;-
TINTAS;43.390;1971;Uvas de mesa;-
Alphonse Lavallee;2.333;1971;Uvas de mesa;-
Moscato de Hamburgo;41.057;1971;Uvas de mesa;-
BRANCAS;16.335;1971;Uvas de mesa;-
Cardinal;-;1971;Uvas de mesa;-
Golden Queen;8.654;1971;Uvas de mesa;-
Patrícia;-;1971;Uvas de mesa;-
Perlona;-;1971;Uvas de mesa;-
Italia;7.681;1971;Uvas de mesa;-
Rubi (Itália, Itália Ro);-;1971;Uvas de mesa;-
Total;59.725;1971;Uvas de mesa;-
-;665.425;1971;Sem classificação;Sem classificação
-;665.425;1971;Sem classificação;Total
TINTAS;10.798.824;1972;Viníferas;-
Alicante Bouschet;-;1972;Viníferas;-
Ancelota;-;1972;Viníferas;-
Aramon;-;1972;Viníferas;-
Alfrocheiro;-;1972;Viníferas;-
Arinarnoa;-;1972;Viníferas;-
Aspirant Bouschet;-;1972;Viníferas;-
Barbera;4.035.482;1972;Viníferas;-
Bonarda;1.875.069;1972;Viníferas;-
Cabernet Franc;572.871;1972;Viníferas;-
Cabernet Sauvignon;-;1972;Viníferas;-
Caladoc;-;1972;Viníferas;-
Campanario;-;1972;Viníferas;-
Canaiolo;552.841;1972;Viníferas;-
Carignan;7.537;1972;Viníferas;-
Carmenere;22.154;1972;Viníferas;-
Castelão;-;1972;Viníferas;-
Corvina;-;1972;Viníferas;-
Croatina;-;1972;Viníferas;-
Cinsaut;-;1972;Viníferas;-
Dom Felder;-;1972;Viníferas;-
Dolcetto;-;1972;Viníferas;-
Durif;-;1972;Viníferas;-
Egiodola;-;1972;Viníferas;-
Ekigaina;-;1972;Viníferas;-
Festival (Sugraone);-;1972;Viníferas;-
Franconia;-;1972;Viníferas;-
Freisa;1.005;1972;Viníferas;-
Gamay St Romain;189;1972;Viníferas;-
Gamay Beaujolais;-;1972;Viníferas;-
Grand Noir;603;1972;Viníferas;-
Grenache;18.488;1972;Viníferas;-
Jaen;-;1972;Viníferas;-
Lagrein;-;1972;Viníferas;-
Lambrusco;100;1972;Viníferas;-
Malbec;-;1972;Viníferas;-
Marzemina;138.699;1972;Viníferas;-
Merlot;198.870;1972;Viníferas;-
Marselan;-;1972;Viníferas;-
Molinera;-;1972;Viníferas;-
Montepulciano;-;1972;Viníferas;-
Moscato Bailey;-;1972;Viníferas;-
Napa Gamay;-;1972;Viníferas;-
Nebbiolo;-;1972;Viníferas;-
Petit Verdot;-;1972;Viníferas;-
Petite Sirah;-;1972;Viníferas;-
Pinotage;-;1972;Viníferas;-
Pinot Noir;13.440;1972;Viníferas;-
Pinot Saint George;-;1972;Viníferas;-
Piriquita;-;1972;Viníferas;-
Rebo;-;1972;Viníferas;-
Refosco;-;1972;Viníferas;-
Rondinella;-;1972;Viníferas;-
Ruby Cabernet;-;1972;Viníferas;-
Sangiovese;62.175;1972;Viníferas;-
Sira (falsa);3.299.301;1972;Viníferas;-
Tannat;-;1972;Viníferas;-
Tempranillo;-;1972;Viníferas;-
Teroldego;-;1972;Viníferas;-
Torrontes;-;1972;Viníferas;-
Tinta Barroca;-;1972;Viníferas;-
Touriga Francesa;-;1972;Viníferas;-
Touriga Nacional;-;1972;Viníferas;-
Tinta Madeira;-;1972;Viníferas;-
Tintoria;-;1972;Viníferas;-
Trincdeira;-;1972;Viníferas;-
Trousseau;-;1972;Viníferas;-
Zinfandel;-;1972;Viníferas;-
Outras1;-;1972;Viníferas;-
BRANCAS E ROSADAS;18.073.470;1972;Viníferas;-
Aliatico;-;1972;Viníferas;-
Aligote;1.969;1972;Viníferas;-
Altesse;-;1972;Viníferas;-
Alvarinho;-;1972;Viníferas;-
Arriloba;-;1972;Viníferas;-
Auxerrois;-;1972;Viníferas;-
Burger;-;1972;Viníferas;-
Chardonnay;-;1972;Viníferas;-
Chasselas;13.255;1972;Viníferas;-
Chenin Blanc;-;1972;Viníferas;-
Clairette(1);120.166;1972;Viníferas;-
Colombard;-;1972;Viníferas;-
Flora;-;1972;Viníferas;-
Garganega;-;1972;Viníferas;-
Gewurztraminer;-;1972;Viníferas;-
Gouveio;-;1972;Viníferas;-
Gros Manseng;-;1972;Viníferas;-
Italia (Pirovano 65) (PE);-;1972;Viníferas;-
Maccabeo;-;1972;Viníferas;-
Malvasia;763.732;1972;Viníferas;-
Malvasia Amarela;-;1972;Viníferas;-
Malvasia Bianca;-;1972;Viníferas;-
Malvasia Chianti;-;1972;Viníferas;-
Malvasia Verde;-;1972;Viníferas;-
Malvasia di Candia;-;1972;Viníferas;-
Malvasia Istriana;-;1972;Viníferas;-
Mistura de uvas viníferas branco;-;1972;Viníferas;-
Mistura de uvas viníferas rosado;-;1972;Viníferas;-
Moscato Branco;5.378.768;1972;Viníferas;-
Moscato Canelli;-;1972;Viníferas;-
Moscato Giallo;-;1972;Viníferas;-
Moscato Nazareno;-;1972;Viníferas;-
Moscato Bianco R2;-;1972;Viníferas;-
Moscato de Alexandria;-;1972;Viníferas;-
Moscato Rosado;-;1972;Viníferas;-
Muscat à Petits Grains;-;1972;Viníferas;-
Muller Thurgau;-;1972;Viníferas;-
Muscadelle;-;1972;Viníferas;-
Ora;-;1972;Viníferas;-
Palomino;-;1972;Viníferas;-
Petit Manseng;-;1972;Viníferas;-
Peverella;1.087.692;1972;Viníferas;-
Pinot Blanc;-;1972;Viníferas;-
Pinot Gris;-;1972;Viníferas;-
Prosecco;-;1972;Viníferas;-
Red Veltliner;-;1972;Viníferas;-
Riesling Italico;304.688;1972;Viníferas;-
Riesling Renano;-;1972;Viníferas;-
Sauvignon Blanc(2);49.244;1972;Viníferas;-
Sauvignon Gris;-;1972;Viníferas;-
Seara Nova;-;1972;Viníferas;-
Semillon;5.172;1972;Viníferas;-
Schonburger;-;1972;Viníferas;-
Sylvaner;-;1972;Viníferas;-
Tocai Friulano;-;1972;Viníferas;-
Trebbiano;9.579.813;1972;Viníferas;-
Trebbiano Toscano;-;1972;Viníferas;-
Verdea;-;1972;Viníferas;-
Verdelho;-;1972;Viníferas;-
Verdiso;-;1972;Viníferas;-
Vermentino;8.945;1972;Viníferas;-
Vernaccia;111.691;1972;Viníferas;-
Viognier;-;1972;Viníferas;-
Outras(3);648.335;1972;Viníferas;-
Total;28.872.294;1972;Viníferas;-
TINTAS;187.251.954;1972;Americanas e híbridas;-
Bacarina;67.464;1972;Americanas e híbridas;-
Bailey;-;1972;Americanas e híbridas;-
Bordo;6.530.686;1972;Americanas e híbridas;-
Bourdin (S);-;1972;Americanas e híbridas;-
BRS Carmen;-;1972;Americanas e híbridas;-
BRS Cora;-;1972;Americanas e híbridas;-
BRS Magna;-;1972;Americanas e híbridas;-
BRS Margot;-;1972;Americanas e híbridas;-
BRS Morena;-;1972;Americanas e híbridas;-
BRS Rúbea;-;1972;Americanas e híbridas;-
BRS Violeta;-;1972;Americanas e híbridas;-
BRS Vitória;-;1972;Americanas e híbridas;-
Champagnon (Champanheta);-;1972;Americanas e híbridas;-
Coleções;-;1972;Americanas e híbridas;-
Concord;2.262.221;1972;Americanas e híbridas;-
Concord clone 30;-;1972;Americanas e híbridas;-
Couderc;2.550.812;1972;Americanas e híbridas;-
Cynthiana(1);535.172;1972;Americanas e híbridas;-
Herbemont;45.765.536;1972;Americanas e híbridas;-
IAC 138022;-;1972;Americanas e híbridas;-
Isabel;120.365.492;1972;Americanas e híbridas;-
Isabel Precoce;-;1972;Americanas e híbridas;-
Jacquez;278.191;1972;Americanas e híbridas;-
Kyoko;-;1972;Americanas e híbridas;-
Landot;63.740;1972;Americanas e híbridas;-
Mistura de uvas americanas tinto;-;1972;Americanas e híbridas;-
Oberlin;11.136;1972;Americanas e híbridas;-
Othello;34.525;1972;Americanas e híbridas;-
Paco;-;1972;Americanas e híbridas;-
Patricia;-;1972;Americanas e híbridas;-
Seibel;8.786.979;1972;Americanas e híbridas;-
Seibel 2 (seibeleto);-;1972;Americanas e híbridas;-
Seyve Willard (Tinta);-;1972;Americanas e híbridas;-
Vênus;-;1972;Americanas e híbridas;-
BRANCAS E ROSADAS;898.576;1972;Americanas e híbridas;-
Baco;5.084;1972;Americanas e híbridas;-
Bokay;-;1972;Americanas e híbridas;-
BRS Clara;-;1972;Americanas e híbridas;-
BRS Lorena;-;1972;Americanas e híbridas;-
Couderc 13;-;1972;Americanas e híbridas;-
Delaware;7.517;1972;Americanas e híbridas;-
Dona Zillá;-;1972;Americanas e híbridas;-
Dut Chess;-;1972;Americanas e híbridas;-
Goethe;472.553;1972;Americanas e híbridas;-
IAC;-;1972;Americanas e híbridas;-
Juliana;-;1972;Americanas e híbridas;-
Martha;14.716;1972;Americanas e híbridas;-
Mistura de uvas americanas;-;1972;Americanas e híbridas;-
Moscato Embrapa;-;1972;Americanas e híbridas;-
Niagara;253.262;1972;Americanas e híbridas;-
Niagara Branca;-;1972;Americanas e híbridas;-
Niagara Rosada;-;1972;Americanas e híbridas;-
Poloske;-;1972;Americanas e híbridas;-
Seleções;-;1972;Americanas e híbridas;-
Seyve Villard;145.444;1972;Americanas e híbridas;-
Seyve Villard 5276;-;1972;Americanas e híbridas;-
Seyve Villard 12375;-;1972;Americanas e híbridas;-
Tardia de Caxias;-;1972;Americanas e híbridas;-
Outras(2);-;1972;Americanas e híbridas;-
Total;188.150.530;1972;Americanas e híbridas;-
TINTAS;4.428;1972;Uvas de mesa;-
Alphonse Lavallee;170;1972;Uvas de mesa;-
Moscato de Hamburgo;4.258;1972;Uvas de mesa;-
BRANCAS;6.829;1972;Uvas de mesa;-
Cardinal;-;1972;Uvas de mesa;-
Golden Queen;657;1972;Uvas de mesa;-
Patrícia;-;1972;Uvas de mesa;-
Perlona;4.027;1972;Uvas de mesa;-
Italia;2.145;1972;Uvas de mesa;-
Rubi (Itália, Itália Ro);-;1972;Uvas de mesa;-
Total;11.257;1972;Uvas de mesa;-
